Compartment,Sig % with compartment,Non-sig % with compartment,Sig count,Non-sig count,p-value,q-value (BH)
Flagellar centriole,12.0,1.0258765885775532,6,268,0.0,0.0007
Mitotic spindle,8.0,1.0718113612004287,4,280,0.0021,0.0516
End piece,10.0,1.9828510182207932,5,518,0.0032,0.0516
Primary cilium tip,8.0,1.3703873832491196,4,358,0.005,0.0615
Basal body,12.0,3.525493798805696,6,921,0.0082,0.0802
Cytokinetic bridge,8.0,2.2661154493951923,4,592,0.0269,0.2194
Microtubules,8.0,3.0125555045169192,4,787,0.0639,0.4276
Primary cilium,10.0,4.562854080538968,5,1192,0.0773,0.4276
Vesicles,10.0,20.023732965855153,5,5231,0.0785,0.4276
Nucleoli fibrillar center,6.0,2.1627622109937223,3,565,0.0944,0.4625
Principal piece,8.0,3.594395957740009,4,939,0.1052,0.4685
Nuclear speckles,8.0,3.7513397642015005,4,980,0.118,0.4818
Centriolar satellite,4.0,1.5885775532077784,2,415,0.1893,0.7135
Endoplasmic reticulum,0.0,3.598223855458582,0,940,0.2646,0.9261
Annulus,2.0,0.7694074414331649,1,201,0.3214,1.0
Nucleoli rim,2.0,0.85362119124177,1,223,0.3496,1.0
Cytosol,44.0,38.9718266727913,22,10181,0.4712,1.0
Golgi apparatus,6.0,10.42336548767417,3,2723,0.483,1.0
Plasma membrane,22.0,18.93278211606186,11,4946,0.5875,1.0
Nucleoli,10.0,7.984994640943194,5,2086,0.5964,1.0
Nuclear bodies,2.0,4.574337773694687,1,1195,0.7288,1.0
Nucleoplasm,44.0,46.53575256469147,22,12157,0.7775,1.0
Mitotic chromosome,0.0,0.42106874904302555,0,110,1.0,1.0
Primary cilium transition zone,0.0,0.9608023273618129,0,251,1.0,1.0
Peroxisomes,0.0,0.12249272699433471,0,32,1.0,1.0
Mitochondria,4.0,5.772469759608024,2,1508,1.0,1.0
Perinuclear theca,0.0,0.8383096003674781,0,219,1.0,1.0
Nuclear membrane,2.0,2.178073801868014,1,569,1.0,1.0
Midbody ring,0.0,0.19522278364722095,0,51,1.0,1.0
Acrosome,0.0,0.857449088960343,0,224,1.0,1.0
Mid piece,2.0,3.337926810595621,1,872,1.0,1.0
Actin filaments,2.0,2.3158781197366407,1,605,1.0,1.0
Aggresome,0.0,0.08421374980860512,0,22,1.0,1.0
Calyx,0.0,0.8957280661460726,0,234,1.0,1.0
Cell Junctions,2.0,2.9589649364568977,1,773,1.0,1.0
Centrosome,2.0,3.1809830041341294,1,831,1.0,1.0
Cleavage furrow,0.0,0.0,0,0,1.0,1.0
Connecting piece,0.0,0.9952534068289696,0,260,1.0,1.0
Midbody,0.0,0.4555198285101822,0,119,1.0,1.0
Cytoplasmic bodies,0.0,0.5244219874444955,0,137,1.0,1.0
Equatorial segment,0.0,0.669882100750268,0,175,1.0,1.0
Focal adhesion sites,0.0,1.1943040881947635,0,312,1.0,1.0
Intermediate filaments,0.0,0.9301791456132292,0,243,1.0,1.0
Kinetochore,0.0,0.0038278977185729596,0,1,1.0,1.0
Lipid droplets,0.0,0.3904455672944419,0,102,1.0,1.0
Rods & Rings,0.0,0.19139488592864798,0,50,1.0,1.0
Microtubule ends,0.0,0.034451079467156635,0,9,1.0,1.0
Endosomes,0.0,0.06507426121574031,0,17,1.0,1.0
Lysosomes,0.0,0.09569744296432399,0,25,1.0,1.0
